timestamp,open,high,low,close,volume
2026-04-05 04:30:00,2057.95,2057.95,2054.86,2055.34,301.0134
2026-04-05 04:45:00,2055.33,2056.6,2054.48,2055.16,270.6642
2026-04-05 05:00:00,2055.16,2056.83,2054.22,2054.44,1060.8599
2026-04-05 05:15:00,2054.45,2054.67,2051.11,2052.84,1564.2667
2026-04-05 05:30:00,2052.84,2053.39,2051.63,2052.89,422.2216
2026-04-05 05:45:00,2052.9,2053.44,2047.21,2048.6,1295.3513
2026-04-05 06:00:00,2048.6,2048.93,2031.44,2033.24,5595.1773
2026-04-05 06:15:00,2033.25,2036.62,2027.75,2035.39,3492.9864
2026-04-05 06:30:00,2035.38,2040.07,2034.81,2039.33,1398.4572
2026-04-05 06:45:00,2039.33,2039.89,2038.32,2038.32,548.4253
2026-04-05 07:00:00,2038.32,2042.11,2038.32,2041.83,689.007
2026-04-05 07:15:00,2041.83,2042.59,2038.92,2040.22,1045.6698
2026-04-05 07:30:00,2040.22,2040.22,2034.48,2036.3,1093.4619
2026-04-05 07:45:00,2036.3,2037.78,2034.84,2037.29,833.3602
2026-04-05 08:00:00,2037.29,2038.79,2035.91,2038.28,551.1032
2026-04-05 08:15:00,2038.28,2039.38,2037.3,2037.4,468.1672
2026-04-05 08:30:00,2037.4,2039.28,2037.22,2037.64,475.4983
2026-04-05 08:45:00,2037.64,2039.94,2037.64,2039.16,466.1083
2026-04-05 09:00:00,2039.17,2042.43,2038.87,2040.09,670.4183
2026-04-05 09:15:00,2040.08,2044.51,2040.08,2043.85,624.1763
2026-04-05 09:30:00,2043.85,2045.69,2042.99,2045.5,526.2395
2026-04-05 09:45:00,2045.5,2046.0,2044.41,2044.42,538.2091
2026-04-05 10:00:00,2044.41,2045.67,2043.17,2043.41,509.1621
2026-04-05 10:15:00,2043.4,2045.1,2042.44,2045.1,396.3182
2026-04-05 10:30:00,2045.09,2052.53,2044.51,2047.27,1718.0412
2026-04-05 10:45:00,2047.26,2047.27,2044.21,2044.74,380.0663
2026-04-05 11:00:00,2044.74,2045.74,2043.05,2045.15,368.0592
2026-04-05 11:15:00,2045.15,2045.83,2041.81,2042.75,509.5141
2026-04-05 11:30:00,2042.76,2043.11,2040.57,2041.35,453.4516
2026-04-05 11:45:00,2041.35,2042.56,2040.52,2042.32,261.5178
2026-04-05 12:00:00,2042.31,2042.31,2038.48,2038.94,963.5451
2026-04-05 12:15:00,2038.94,2040.12,2037.57,2037.59,473.8301
2026-04-05 12:30:00,2037.59,2038.0,2021.5,2025.03,6593.5177
2026-04-05 12:45:00,2025.04,2029.65,2023.15,2028.36,1815.0902
2026-04-05 13:00:00,2028.37,2030.71,2026.43,2026.66,953.0248
2026-04-05 13:15:00,2026.67,2033.13,2025.81,2026.01,1197.7751
2026-04-05 13:30:00,2026.01,2031.3,2025.71,2029.93,1394.9449
2026-04-05 13:45:00,2029.93,2037.75,2029.82,2036.63,1327.0945
2026-04-05 14:00:00,2036.63,2041.97,2035.19,2036.78,1826.5346
2026-04-05 14:15:00,2036.78,2040.78,2035.67,2039.95,583.1521
2026-04-05 14:30:00,2039.94,2043.32,2038.64,2040.81,2361.1309
2026-04-05 14:45:00,2040.81,2040.84,2038.11,2038.49,619.9607
2026-04-05 15:00:00,2038.49,2041.65,2034.58,2040.84,1276.0759
2026-04-05 15:15:00,2040.84,2063.8,2040.4,2060.66,7793.9251
2026-04-05 15:30:00,2060.66,2069.89,2053.33,2059.46,6513.4509
2026-04-05 15:45:00,2059.47,2059.63,2052.99,2053.85,1661.6021
2026-04-05 16:00:00,2053.85,2057.96,2053.17,2055.54,1479.3329
2026-04-05 16:15:00,2055.54,2057.42,2054.8,2054.8,550.8315
2026-04-05 16:30:00,2054.8,2059.3,2054.21,2056.21,905.1297
2026-04-05 16:45:00,2056.21,2056.21,2050.29,2052.15,1073.0218
2026-04-05 17:00:00,2052.15,2057.1,2048.69,2055.9,2013.9328
2026-04-05 17:15:00,2055.89,2056.61,2051.87,2055.96,638.2428
2026-04-05 17:30:00,2055.96,2061.0,2055.0,2060.69,1015.0684
2026-04-05 17:45:00,2060.7,2062.54,2058.43,2062.53,4203.9934
2026-04-05 18:00:00,2062.54,2062.93,2057.1,2058.85,1119.1372
2026-04-05 18:15:00,2058.85,2059.68,2057.81,2057.81,432.5686
2026-04-05 18:30:00,2057.82,2066.6,2057.82,2064.92,1672.6151
2026-04-05 18:45:00,2064.92,2066.45,2061.74,2062.99,990.0338
2026-04-05 19:00:00,2062.99,2064.18,2061.85,2063.21,760.5752
2026-04-05 19:15:00,2063.2,2069.95,2062.82,2066.44,1936.9511
2026-04-05 19:30:00,2066.44,2066.74,2058.66,2059.22,1794.3342
2026-04-05 19:45:00,2059.22,2062.39,2058.25,2062.37,804.6029
2026-04-05 20:00:00,2062.38,2064.37,2062.0,2062.96,1408.7803
2026-04-05 20:15:00,2062.97,2066.65,2062.97,2066.02,628.0039
2026-04-05 20:30:00,2066.01,2075.11,2065.51,2067.47,3443.6753
2026-04-05 20:45:00,2067.47,2070.7,2067.22,2068.91,688.6257
2026-04-05 21:00:00,2068.9,2069.12,2059.11,2061.02,2309.7181
2026-04-05 21:15:00,2061.02,2062.23,2058.33,2060.55,654.8971
2026-04-05 21:30:00,2060.55,2061.22,2056.73,2060.0,1984.5943
2026-04-05 21:45:00,2060.0,2065.54,2059.32,2060.01,1500.6974
2026-04-05 22:00:00,2060.01,2067.45,2050.66,2055.03,4418.7037
2026-04-05 22:15:00,2055.02,2057.07,2050.0,2054.15,1456.8705
2026-04-05 22:30:00,2054.15,2072.27,2053.04,2070.31,2887.3959
2026-04-05 22:45:00,2070.31,2088.0,2069.83,2085.79,7385.7181
2026-04-05 23:00:00,2085.78,2097.2,2082.35,2097.19,7384.6603
2026-04-05 23:15:00,2097.19,2118.1,2096.82,2108.21,12481.0852
2026-04-05 23:30:00,2108.2,2123.49,2107.83,2111.05,9234.4677
2026-04-05 23:45:00,2111.06,2116.14,2108.23,2110.17,3260.7152
2026-04-06 00:00:00,2110.17,2135.39,2110.17,2119.81,10841.196
2026-04-06 00:15:00,2119.81,2125.5,2115.45,2123.13,4494.2982
2026-04-06 00:30:00,2123.13,2132.12,2120.2,2128.53,4614.204
2026-04-06 00:45:00,2128.52,2129.68,2121.37,2121.99,1702.4798
2026-04-06 01:00:00,2122.0,2124.53,2115.48,2115.66,3807.4093
2026-04-06 01:15:00,2115.67,2119.9,2112.48,2119.71,3196.2275
2026-04-06 01:30:00,2119.71,2120.5,2114.17,2115.71,4007.1686
2026-04-06 01:45:00,2115.72,2118.91,2114.41,2115.12,1491.7627
2026-04-06 02:00:00,2115.11,2147.24,2114.59,2133.57,10860.6676
2026-04-06 02:15:00,2133.57,2140.8,2130.36,2134.88,4116.9184
