open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,symbol
2026-04-05 05:00:00,80.33,80.43,80.14,80.31,49078.887,2026-04-05 05:59:59.999,3941740.51515,13920,31071.43200000,2495460.45610000,0,SOLUSDT
2026-04-05 06:00:00,80.3,80.38,79.41,79.59,153896.649,2026-04-05 06:59:59.999,12273812.41064,33786,60716.14100000,4841935.56640000,0,SOLUSDT
2026-04-05 07:00:00,79.59,79.88,79.51,79.6,70495.297,2026-04-05 07:59:59.999,5619451.93297,14322,37317.93500000,2975041.44798000,0,SOLUSDT
2026-04-05 08:00:00,79.59,79.71,79.54,79.62,52925.655,2026-04-05 08:59:59.999,4214508.06786,9221,27888.60300000,2221102.67366000,0,SOLUSDT
2026-04-05 09:00:00,79.62,79.88,79.62,79.84,26469.593,2026-04-05 09:59:59.999,2111822.42322,8108,15055.30100000,1201236.57526000,0,SOLUSDT
2026-04-05 10:00:00,79.83,80.24,79.78,79.84,47152.197,2026-04-05 10:59:59.999,3770352.8733,10834,26423.48100000,2113196.71679000,0,SOLUSDT
2026-04-05 11:00:00,79.84,79.92,79.75,79.9,31689.336,2026-04-05 11:59:59.999,2530239.66366,8965,13299.31600000,1061885.25853000,0,SOLUSDT
2026-04-05 12:00:00,79.91,79.95,78.8,79.0,102171.653,2026-04-05 12:59:59.999,8096727.39624,30756,45972.88400000,3640654.80642000,0,SOLUSDT
2026-04-05 13:00:00,79.01,79.25,78.52,79.21,101430.707,2026-04-05 13:59:59.999,8005620.17488,29338,56687.67400000,4475182.42576000,0,SOLUSDT
2026-04-05 14:00:00,79.21,79.48,79.13,79.29,39060.526,2026-04-05 14:59:59.999,3098439.51313,15425,22439.20100000,1779984.09047000,0,SOLUSDT
2026-04-05 15:00:00,79.29,80.33,79.0,79.6,146587.812,2026-04-05 15:59:59.999,11688534.25165,44558,73109.60100000,5829076.40137000,0,SOLUSDT
2026-04-05 16:00:00,79.59,79.82,79.39,79.46,54565.511,2026-04-05 16:59:59.999,4344122.2956,17771,20986.71800000,1671302.04183000,0,SOLUSDT
2026-04-05 17:00:00,79.47,79.93,79.37,79.9,45366.939,2026-04-05 17:59:59.999,3616666.18263,19778,23882.71800000,1903559.63973000,0,SOLUSDT
2026-04-05 18:00:00,79.89,80.14,79.71,79.95,60124.344,2026-04-05 18:59:59.999,4805407.26076,25363,26330.79200000,2104660.87117000,0,SOLUSDT
2026-04-05 19:00:00,79.96,80.23,79.54,79.83,45422.467,2026-04-05 19:59:59.999,3632832.01883,20493,17410.47900000,1392573.47269000,0,SOLUSDT
2026-04-05 20:00:00,79.83,80.22,79.81,80.16,42413.324,2026-04-05 20:59:59.999,3394419.846,14738,18521.55700000,1481990.81302000,0,SOLUSDT
2026-04-05 21:00:00,80.16,80.19,79.51,79.75,59461.943,2026-04-05 21:59:59.999,4743814.542,17682,25160.10200000,2007172.69066000,0,SOLUSDT
2026-04-05 22:00:00,79.74,80.69,79.1,80.58,153206.215,2026-04-05 22:59:59.999,12240585.33155,57907,83125.65300000,6641884.40858000,0,SOLUSDT
2026-04-05 23:00:00,80.58,82.13,80.46,81.89,284518.153,2026-04-05 23:59:59.999,23211142.79588,86401,156451.68600000,12763255.43390000,0,SOLUSDT
2026-04-06 00:00:00,81.89,82.97,81.89,82.32,321786.17,2026-04-06 00:59:59.999,26543506.70126,94711,169380.38000000,13972933.81110000,0,SOLUSDT
