Trend MA,MeanRev BB,Momentum ROC
0.0,0.0,0.0
1.7516878659533701,1.7516878659533701,1.7516878659533701
2.2402037499069016,2.2402037499069016,2.2402037499069016
2.1870378228624445,2.1870378228624445,2.1870378228624445
2.56092504763284,2.56092504763284,2.56092504763284
1.0403529843868615,1.0403529843868615,1.0403529843868615
1.0403529843868615,1.0403529843868615,1.0403529843868615
1.0403529843868615,1.0403529843868615,1.0403529843868615
1.0403529843868615,1.0403529843868615,1.0403529843868615
1.0403529843868615,1.0403529843868615,1.0403529843868615
1.0403529843868615,1.0403529843868615,1.0403529843868615
0.1844364920215621,0.1844364920215621,0.1844364920215621
0.5021712227000492,0.5021712227000492,0.5021712227000492
0.8626798528852021,0.8626798528852021,0.8626798528852021
1.61764117237011,1.61764117237011,1.61764117237011
2.893004981239895,2.893004981239895,2.893004981239895
3.02415701234613,3.02415701234613,3.02415701234613
2.458130358948739,2.458130358948739,2.458130358948739
2.899901425428747,2.899901425428747,2.899901425428747
2.4251031681367445,2.4251031681367445,2.4251031681367445
4.535155974975468,4.535155974975468,4.535155974975468
5.05797022663447,5.05797022663447,5.05797022663447
5.799178521580895,5.799178521580895,5.799178521580895
4.816275769310145,4.816275769310145,4.816275769310145
4.302670064516009,4.302670064516009,4.302670064516009
3.661500074147455,3.661500074147455,3.661500074147455
3.9124828060151775,3.9124828060151775,3.9124828060151775
4.9539256062128185,4.9539256062128185,4.9539256062128185
4.494195880154293,4.494195880154293,4.494195880154293
5.116131568088587,5.116131568088587,5.116131568088587
5.603965300812745,5.603965300812745,5.603965300812745
4.519648941510299,4.519648941510299,4.519648941510299
3.940068582770646,3.940068582770646,3.940068582770646
4.908500761396556,4.908500761396556,4.908500761396556
5.272357954078024,5.272357954078024,5.272357954078024
5.213399335839109,5.213399335839109,5.213399335839109
5.311863018766875,5.311863018766875,5.311863018766875
5.857798297186258,5.857798297186258,5.857798297186258
6.185598647273359,6.185598647273359,6.185598647273359
6.925670822801372,6.925670822801372,6.925670822801372
7.1489282544762665,7.1489282544762665,7.1489282544762665
8.013594859555187,8.013594859555187,8.013594859555187
8.622375480539633,8.622375480539633,8.622375480539633
7.773494955800547,7.773494955800547,7.773494955800547
6.310412327940098,6.310412327940098,6.310412327940098
5.8879154277336,5.8879154277336,5.8879154277336
5.458840994052193,5.458840994052193,5.458840994052193
5.555929374526104,5.555929374526104,5.555929374526104
5.882553741355573,5.882553741355573,5.882553741355573
5.761088623185149,5.761088623185149,5.761088623185149
5.260358938466196,5.260358938466196,5.260358938466196
4.846353036018238,4.846353036018238,4.846353036018238
5.451605707229758,5.451605707229758,5.451605707229758
4.866862981308271,4.866862981308271,4.866862981308271
4.619188948097614,4.619188948097614,4.619188948097614
6.146412493298451,6.146412493298451,6.146412493298451
5.214973957489155,5.214973957489155,5.214973957489155
5.214973957489155,5.214973957489155,5.214973957489155
5.214973957489155,5.214973957489155,5.214973957489155
5.214973957489155,5.214973957489155,5.214973957489155
5.214973957489155,5.214973957489155,5.214973957489155
5.214973957489155,5.214973957489155,5.214973957489155
5.214973957489155,5.214973957489155,5.214973957489155
5.214973957489155,5.214973957489155,5.214973957489155
5.214973957489155,5.214973957489155,5.214973957489155
5.177066486068695,5.177066486068695,5.177066486068695
5.363880500238685,5.363880500238685,5.363880500238685
5.363880500238685,5.363880500238685,5.363880500238685
5.363880500238685,5.363880500238685,5.363880500238685
5.363880500238685,5.363880500238685,5.363880500238685
5.363880500238685,5.363880500238685,5.363880500238685
